Title;Company;Location;Description
Senior Backend Engineer (with Terraform experience);CBTW APAC;Ho Chi Minh City, Vietnam (Hybrid);"About the job
About CBTW
As a global tech company, we empower businesses with tailored tech and business solutions that drive innovation and sustainable growth. With over 3,000 experts across 21 countries, we deliver results through flexible engagement models—whether augmenting teams, managing complex projects, or building long-term operations. We specialize in Strategy & Governance, Product Design & Growth, Software Engineering, Data Analytics & AI, Cloud & Enterprise Platforms, Cybersecurity, and industry-specific solutions for Banking, Life Sciences, and Smart Industrial sectors. Guided by our commitment to building a better world, we dedicate time, resources, and expertise to education projects, creating a lasting impact on our teams, communities, and planet.

What you will do
Develop, support, and maintain software applications using best practices across a
range of technologies ensuring high-quality, maintainable, efficient, tested, and
scalable code.
Provide input into the target state architecture for the platform.
With their peers, develop a robust, automated, and modern CICD practice within the team.
Developing high-quality solutions collaboratively with the team and appropriate members throughout the engineering function using a mix of front-end (web and mobile) and back-end technologies.
Working incrementally towards delivery of the platform. Collaborating closely with Product using customer data and insights to drive the solutions.
Establishing strong quality and automation practices and processes.
Lead technical projects, including architecture and design decisions, code reviews/pairing, and mentoring of junior team members.
Working closely with our Platform teams to implement software leveraging our internal platforms, tools, frameworks, and infrastructure where appropriate.
Collaborating closely with product owners, delivery leads, and business analysts to break down, estimate, and deliver business requirements.
Contributing to the improvement of software development lifecycle processes.
Participate in and, at times, facilitate Engineering Dojos driving a culture of Engineering Excellence.
Provide continuous support and guidance to less senior colleagues through regular coaching activities and support them in fulfilling their personal development plans

Qualifications
5+ years of software engineering experience
Expertise in TypeScript/JavaScript, React, and front-end development; proficiency in full-stack development with at least one server-side language (NodeJS preferred).
Hands-on experience with AWS.
Experienced in Continuous Delivery practices (CI, TBD, etc.)
Hands-on experience of testing methodologies (e.g., TDD, BDD, mocking) or a willingness to develop further in this area
Experience using automation tools to build robust, automated build/release/deploy processes (e.g. GitHub Actions)
Must-have experience using Terraform to build Infrastructure as code
Experience leveraging modern software design patterns (e.g., SOLID, Strategy/Observer/Facade, hexagonal architecture) and both object-oriented and functional programming.
Experience using, building, and running containers locally and exposure to concepts pertaining to container orchestration in a production environment (e.g. ECS, EKS/Kubernetes, docker-compose)
Commitment to continuous learning and staying up to date with software engineering trends.
Experience in designing team and service interfaces, leveraging contracts and specifications (OpenAPI / Swagger) to driver discussions and designs.
Proven ability to work successfully in and with a remote, global team.
Good at English communication"
Kỹ sư phát triển giải pháp Oracle - Database Developer - Khối Công nghệ thông tin (HO25.286);MBBank;Hanoi Capital Region (On-site);"About the job
Job Description:
Design and build databases tailored to specific business functions.
 Develop PL/SQL database code and implement backend functionalities at the database layer.
 Use T2T for data transformation and develop PL/SQL procedures.
 Perform database performance tuning to ensure optimal system performance.
 Implement ETL processes and generate reports and dashboards using Oracle tools (BI, OAS, etc.).
 Collaborate with Oracle support and partners to troubleshoot and resolve issues via Oracle CSI.

Job Requirements:
Bachelor’s degree in Information Technology, Applied Mathematics & Informatics, Electronics & Telecommunications, Accounting, or Finance & Banking, etc.
 Proficient in at least one programming language: SQL/PLSQL, NoSQL, or Java.
 Experience in developing with at least one ETL or reporting tool (e.g., Pentaho, ODI, GoldenGate, Oracle BI, Tableau, etc.).
 Preferred Qualifications:
+ Experience in development or architectural knowledge of OFSAA platform.
+ Understanding of banking, finance, insurance, or securities domains.
+ Experience with asynchronous processing, multithreading, near real-time data processing, or data streaming on platforms such as Oracle or Kafka Streams."
Senior Enterprise Architect (40001080);Techcombank (TCB);Hanoi, Hanoi, Vietnam (On-site);"About the job
Job Purpose

The Enterprise Architect leads initiatives using project management best practices and industry architecture frameworks. The Enterprise Architect leads design efforts, defines end-to-end architectures, oversees and performs research studies and presentations that include recommendations, and instructions for proposed implementations; formulating logical descriptions of problems; and recommending optimum solutions.
 The job holder building an enterprise architecture management framework (EA): Building an overall architectural framework, technology standards, and design methods for all technology fields.
 The job holder ensure oeverall architectural direction: Control designs in projects, BAUs, ensure architectural direction and technology standards are followed

Key Accountabilities (1)
 Building general EA framework:
 Build general EA framework to meet Bank's business strategy
 Build technology standards, design methods in each period to meet Bank's business strategy
 Develop technology directions and plans for key technologies such as Cloud, Customer-centric architecture and Digital.
 Define reference enterprise architecture patterns for each key technology to support the organisation wide vision and individual business vertical strategies.

Key Accountabilities (2)
 Ensuring general architecture orientation:
 Develop and maintain a group wide enterprise architecture framework (as is and to be) to ensure that the overall digital strategy and vision is maintained consistently and socialised across business verticals on a regular basis.
 Provide architectural guidance to multiple agile teams and across product portfolios and collaborate with relevant IT stakeholders to help drive the transition towards the target picture
 Assess and/or approve solution architectures to ensure the consistency with architecture standards and strategy
 Support teams across business verticals to execute the roadmaps in projects lifecycle while piloting key technologies (until the delivery).
 Review architecture in line with plan, assess level of compliance following standardized architecture
 Other duties
 Participate in assigned technology projects and communicate with stakeholders across the IT & business to ensure that technology projects and initiatives support roadmap direction for shared platforms
 Participates and effectively contributes to the IT portfolio management practice including framework, policies, procedures and processes.
 Enable transformation of technology in the Bank through introduction of new technologies or retirement of obsolete technologies and dealing with related risks
 Perform other tasks assigned by management

Key Accountabilities (3)
Standardization & Governance

Additional and only relevant for Security Architecture specilaity

 Develop and maintain the bank's security architecture framework and strategy
 Develop and maintain security policies, standards, and procedures for the bank.
 Conduct security assessments and audits to ensure compliance with security policies and standards.

Initiative / Project Delivery & Operation

 Collaborate with other IT teams to design and implement security solutions across multiple business units and locations.
 Being part of the delivery team and ensure compliance with relevant security regulations and standards across the bank.
 Develop and maintain relationships with internal and external stakeholders to promote security awareness and best practices.
 Participate in incident response and forensic investigations for large-scale indicdents.

Key Relationships - Direct Manager
Director, Enterprise Architecture

Key Relationships - Direct Reports

Key Relationships - Internal Stakeholders
Interal units in Division and other Divisions

Key Relationships - External Stakeholders
State agencies (SBV, Technology department…); external Vendor

Success Profile - Qualification and Experiences
Qualifications

 Graduated in Information Technology or Banking

Work Experience

 Understand the bank's IT development strategy and roadmap in the next 5 years
 Able to propose solution architecture for some main business areas of the bank such as Payment, BPM, DW, Risks, Lending...
 Ability to coordinate with other units to carry out the work from ideation, to design and operation.
 Having expertise, deep understanding of analysis, design, selection of technical solutions
 At least 10 years of experience in practical implementation of many key solutions in end-to-end banking from business to application and deployment layer such as card, core, internet banking, data warehouse
 Have experience in working as an Enterprise Architect and possess strong Enterprise Architecture domain knowledge with experience in developing, implementing, and maintaining architecture across complex platforms, applications, and networks
 Must have strong knowledge in emerging technologies, and the ability to apply these in the service of the company's key business goals.
 Strong verbal and written communication, collaboration, and leadership skills with Technical teams and Business teams
 Experience guiding/teaching others in architecture principles, such as roadmaps, technical standards, non-functional requirements, and solution diagramming/documentation
 Demonstrated success working with standard software development lifecycle models, deliverables/artifacts and tools, SOA concepts and design patterns
 Experience designing scalable/reliable/flexible/secure solutions across heterogeneous hardware platforms , operating systems, middlewares, and infrastructure technologies
 Technical experience with architecture, technology stacks, or overall architectural governance
 Experience with cloud computing and/or other virtualization technologies
 Experience establishing and documenting standards, guidelines, and best practices

For Security Architecture

 Minimum of 8 years of experience in the information security field, with at least 5-7 years in a security architecture role.
 Proven experience in developing and implementing security architecture frameworks and strategies for large, complex environments.
 Experience with leading security architecture teams and managing security architecture projects.
 Experience with security technologies such as cloud security, container security, and micro-segmentation, firewalls, intrusion detection/prevention systems, vulnerability scanners, and security information and event management (SIEM) systems in large environments.
 Proven experience in implementing security solutions across multiple business units and locations.

Language level

 English, according to TCB's regulations in each period"
[Middle, Senior] Mobile Developer (Flutter) - Khối Công nghệ thông tin (HO25.284);MBBank;Hanoi Capital Region (On-site);"About the job
Job Description
Participate in and lead mobile application development projects (both iOS and Android), directly programming and supporting team members of 3 to 6 people.
Create work timelines, manage tasks for team members, supervise and assist members to complete their commitments on time.
Participate in business analysis, propose solutions and implementation plans to improve and enhance project effectiveness.
Coordinate with technology providers to deploy technological solutions.
Research and experiment with applying new technology trends.

Job Requirement
At least 3 years of experience working in companies or projects related to mobile programming (Flutter preferred).
At least 1 year of experience working with each platform: iOS and Android.
Experience in building CI/CD pipelines for mobile platforms.
Strong understanding of writing and integrating Native Modules and Native Views communicating with Flutter and React Native. Experience with JavascriptEngine communication with native code.
Knowledge of using state management, local storage such as SQLite and Shared Preferences.
Experience using Xcode, Android Studio, and analysis tools (Flipper/Dart devtool).
Successfully published at least 2 applications on the App Store or Google Play.
Preference given to candidates with experience in Backend development (Spring Boot, Java) and web frontend (ReactJS, AngularJS, VueJS)."
(Middle, Senior level) FullStack Developer - Khối Công nghệ thông tin (HOLT.12);MBBank;Hanoi Capital Region (On-site);"About the job
Job Description
Develop and directly program banking systems and applications, including internal systems and customer-facing applications serving 30 million individual customers and 300,000 corporate customers.
Develop or collaborate with vendors to deploy technology solutions.
Manage and develop integration services with core systems such as T24, WAY4, BPM, CRM, CIC, etc.
Manage and develop APIs on the API Gateway to support integration with domestic and international partners.
Research, test, and implement new technology trends in development, including GraphQL, Docker Containers (Kubernetes), CI/CD, Event Sourcing, CQRS, and NoSQL.
Participate in business analysis, propose solutions and implementation plans to improve project efficiency.
Create work timelines, manage tasks for team members, supervise, and support members to meet commitments.
Lead a team of 3-6 members, supporting their professional growth and ensuring task completion.

Job Requirement
Graduated from university in majors such as Information Technology, Computer Science, Telecommunications Electronics, Software Engineering, Information Systems, etc.
Minimum 2 years of practical experience in Backend programming at companies or projects.
At least 1-2 years of experience working with Microservices.
Proficient in Java programming language.
Skilled in the Spring framework: Spring Core, Spring Security, Spring Boot.
Proficient in at least one of the following databases: Oracle, SQL Server, PostgreSQL, MongoDB.
Strong knowledge of system architecture and diverse software design patterns.
Capable of tuning application and system performance.
Deep understanding of technologies such as MySQL, Redis, MongoDB, PostgreSQL, Kafka, etc.
Experience in Cloud development, AI, and Front-end is a plus.
Experience in mentoring and managing teams is an advantage."
Senior QA Engineer (Java Coding);Binance;Ho Chi Minh City, Ho Chi Minh City, Vietnam (Hybrid);"About the job
Binance is a leading global blockchain ecosystem behind the world’s largest cryptocurrency exchange by trading volume and registered users. We are trusted by over 280 million people in 100+ countries for our industry-leading security, user fund transparency, trading engine speed, deep liquidity, and an unmatched portfolio of digital-asset products. Binance offerings range from trading and finance to education, research, payments, institutional services, Web3 features, and more. We leverage the power of digital assets and blockchain to build an inclusive financial ecosystem to advance the freedom of money and improve financial access for people around the world.

Responsibilities

Work closely with team members (Developer, Product Manager, Customer Support and Partners) to develop detailed, comprehensive Automation test cases and deliver high quality products.
Prevent, analyze and track product defects/issues + Root cause analysis of test script failures.
Hands-on Manual investigation and reproduction of functional Backend software issues.
Find out test script deficiencies and solutions for additional scripted coverage.
Investigatory testing of unreleased features including defining requirements, behavior and impact.
Documentation and design of test scenarios for all of the above*.
Stay ahead with latest technology, consistently enhance team's testing process, methodologies, and efficiency.

Requirements

At least 6 years of experience for the above Responsibilities listed.
Strong knowledge of Software QA Automation methodologies, Backend Testing, Auto frameworks and design processes.
Solid knowledge of SQL, hands on solid coding / writing script capability (Java preferred).
Proficient in conducting root cause analysis to identify and address underlying issues impacting software quality.
Strong analytical and trouble-shooting skills, able to work independently.
Enjoy breaking things and solving problems - not only figuring out 'what', but also the 'why' 
User-Focus mindset, with good logical thinking.
Bilingual English/Mandarin is required to be able to coordinate with overseas partners and stakeholders. 
Bonus: Prior knowledge in blockchain and exchange related domain would be highly advantageous.
Bonus: Experience in Functional testing for Web and Mobile applications.

Why Binance

 Shape the future with the world’s leading blockchain ecosystem
 Collaborate with world-class talent in a user-centric global organization with a flat structure
 Tackle unique, fast-paced projects with autonomy in an innovative environment
 Thrive in a results-driven workplace with opportunities for career growth and continuous learning
 Competitive salary and company benefits
 Work-from-home arrangement (the arrangement may vary depending on the work nature of the business team)

Binance is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.

By submitting a job application, you confirm that you have read and agree to our  Candidate Privacy Notice ."
Blockchain Security Engineer, Solidty/Rust/Go;Binance;Ho Chi Minh City, Ho Chi Minh City, Vietnam (Remote);"About the job
Binance is a leading global blockchain ecosystem behind the world’s largest cryptocurrency exchange by trading volume and registered users. We are trusted by over 280 million people in 100+ countries for our industry-leading security, user fund transparency, trading engine speed, deep liquidity, and an unmatched portfolio of digital-asset products. Binance offerings range from trading and finance to education, research, payments, institutional services, Web3 features, and more. We leverage the power of digital assets and blockchain to build an inclusive financial ecosystem to advance the freedom of money and improve financial access for people around the world.

About The Role

This is a unique opportunity to contribute to the field and contribute to the blockchain community. You will work hand-in-hand with various talented workers from Binance on the cutting-edge of crypto to guard safety across many projects and systems. You will also coordinate with other teams aside from the security group, which could provide you an in-depth understanding of the crypto world.

Responsibilities

Conduct security audits and reviews on smart contracts and related protocols. Also write high-quality audit reports
Develop/Enhance automated scanning and monitoring tools for smart contracts
Utilize scanning tools to detect vulnerabilities in online contracts and promptly issue risk warnings
Conduct root cause analysis on various hacking incidents, examining the causes, processes, prevention, correction and basic fund tracing
Demonstrate a good understanding of EVM chains, and be familiar with DeFi design patterns
Perform a review analysis on newly disclosed vulnerabilities for smart contracts and summarize the root cause behind the exploits for early detection in the future

Requirements

Currently enrolled or holding a bachelor's degree (or higher) in Computer Science or a related field
Proficient in either of the programming languages, such as Solidity, Go among others which are currently engaged with the Blockchain field
Basic understanding of common Smart Contract security vulnerabilities, Current incidents and Simulation testing
Basic understanding of blockchain and smart contract principles, experienced with reading Blockchain explorers and creating scripts to track and scan data
Understanding of different types of solidity libraries and security associated with it
Familiar with smart contract development testing cycle and transaction analysis

Additional Beneficial Skills

Passionate about cryptocurrency / DeFi / smart contract / blockchain
Basic understanding of using VSCode, Git, or other version control applications
Basic knowledge of detection, exploitation, and prevention of security vulnerabilities
Experience in smart contracts development (e.g Foundry, HardHat, etc.)
Have great interest in Binance, high work enthusiasm, fit into remote working culture and responsibility, good and humble work attitude

Why Binance

 Shape the future with the world’s leading blockchain ecosystem
 Collaborate with world-class talent in a user-centric global organization with a flat structure
 Tackle unique, fast-paced projects with autonomy in an innovative environment
 Thrive in a results-driven workplace with opportunities for career growth and continuous learning
 Competitive salary and company benefits
 Work-from-home arrangement (the arrangement may vary depending on the work nature of the business team)

Binance is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.

By submitting a job application, you confirm that you have read and agree to our  Candidate Privacy Notice ."
Senior Computer Vision Engineer (LLM);Binance;Ho Chi Minh City, Ho Chi Minh City, Vietnam (Remote);"About the job
Binance is a leading global blockchain ecosystem behind the world’s largest cryptocurrency exchange by trading volume and registered users. We are trusted by over 280 million people in 100+ countries for our industry-leading security, user fund transparency, trading engine speed, deep liquidity, and an unmatched portfolio of digital-asset products. Binance offerings range from trading and finance to education, research, payments, institutional services, Web3 features, and more. We leverage the power of digital assets and blockchain to build an inclusive financial ecosystem to advance the freedom of money and improve financial access for people around the world.

We are looking for an experienced and enthusiastic Senior Computer Vision Engineer to join our pioneering team. The ideal candidate will have a deep understanding of computer vision technologies and large language models (LLMs), paired with a strong background in coding with Python and PyTorch/Tensorflow. This position requires someone with both the academic foundation and practical experience to drive our advanced computer vision projects.

Responsibilities

Develop and deploy computer vision models that enhance our product offerings.
Utilize Python and PyTorch to design and implement scalable, efficient code.
Collaborate with cross-functional teams to integrate computer vision solutions into existing systems.
Stay ahead of industry trends and bring novel insights to guide our technological strategies.
Participate in code reviews, providing constructive feedback to peers.
Lead research and development projects, facilitating the translation of these projects into practical applications.
Mentor junior engineers and contribute to a collaborative team culture.

Qualifications

A minimum of a Master’s degree in Computer Science, Electrical Engineering, or a related field.
Extensive experience in computer vision and LLMs.
Proven proficiency in coding with Python and PyTorch.
Experience with KYC pipeline, document analysis, or OCR processes is a significant advantage.
A publication record in top-tier conferences or journals in computer vision is a plus.
Strong analytical and problem-solving skills. 
Ability to work independently and as part of a team. 
Excellent verbal and written communication skills. The capacity to manage multiple projects and adapt in a fast-paced environment.

Working at Binance

 Be a part of the world’s leading blockchain ecosystem that continues to grow and offers excellent career development opportunities
 Work alongside diverse, world-class talent in an environment where learning and growth opportunities are endless
 Tackle fast-paced, challenging and unique projects
 Work in a truly global organization, with international teams and a flat organizational structure
 Competitive salary and benefits
 Flexible working hours, remote-first, and casual work attire

Learn more about how Binancians embody the organization’s core values , creating a unified culture that enables collaboration, excellence, and growth.

Apply today to be a part of the Web3 revolution!

Binance is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.

By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice .

Why Binance

 Shape the future with the world’s leading blockchain ecosystem
 Collaborate with world-class talent in a user-centric global organization with a flat structure
 Tackle unique, fast-paced projects with autonomy in an innovative environment
 Thrive in a results-driven workplace with opportunities for career growth and continuous learning
 Competitive salary and company benefits
 Work-from-home arrangement (the arrangement may vary depending on the work nature of the business team)

Binance is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.

By submitting a job application, you confirm that you have read and agree to our  Candidate Privacy Notice ."
Senior Data Engineer;Katalon;Ho Chi Minh City, Ho Chi Minh City, Vietnam (Hybrid);"About the job
Founded in 2016, Katalon is the category leader in AI-augmented software testing, empowering hybrid testers—those blending manual, automation, and AI skills—to deliver exceptional digital experiences. Katalon enables software teams of any size to deliver world-class customer experiences faster, easier, and more efficiently.

Since its first launch, Katalon has experienced tremendous growth, serving more than 30,000 teams across 80+ countries, many of which are in the Fortune Global 500. Katalon has been named a G2 Leader in software testing for 11 consecutive quarters and a Great Place to Work for three consecutive years.

Responsibilities

We are seeking a highly skilled Senior Data Engineer to join our Data team, driving the design, development, and maintenance of robust data architectures that support both production and operational data needs across the company. This role plays a critical part in enabling data-driven decision-making by building scalable, efficient, and secure data pipelines and infrastructure on AWS cloud services. You will collaborate closely with Engineering Architects, Growth Data Analysts, Product Data Analysts, and Revenue Analysts to ensure our data systems align with business goals and deliver actionable insights.

Responsibilities include:

Lead the design and implementation of scalable, reliable data architectures supporting production and operational data workflows
Build, optimize, and maintain ETL/ELT pipelines for efficient data ingestion, transformation, and integration from diverse sources into centralized data warehouses and lakes
Leverage AWS services (e.g., Redshift, S3, Glue, Lambda, EMR) and big data platforms such as Kafka and Airflow to architect and manage cloud-based data infrastructure
Collaborate with cross-functional teams including Engineering, Product, Growth, and Revenue to understand data requirements and translate them into technical solutions
Identify and implement improvements in data processing, storage, and delivery to enhance system performance and scalability
Ensure data quality, security, and governance best practices are embedded in all data engineering processes
Promote knowledge sharing of data engineering best practices within the team
Proactively troubleshoot and resolve complex data infrastructure issues
Drive the adoption of best practices in data engineering, including automation, monitoring, and continuous integration/deployment pipelines
Work in an Agile environment, collaborating closely with product and engineering teams to deliver data solutions that support SaaS product features and business growth

Requirements

Must-have:

At least 5 years of experience in data engineering with a strong focus on data architecture and production-grade data pipelines
Deep knowledge of data modeling, data warehousing, and ELT/ETL frameworks
Strong programming skills in Python and proficiency in SQL for database design and querying
Proven expertise with AWS data services and cloud-native data engineering solutions, including hands-on experience with Amazon S3, Redshift, Lambda, Glue, and EC2
Experience with big data platforms such as Apache Kafka, and Apache Airflow for data warehousing, streaming, and workflow orchestration
Strong understanding of statistical analysis, predictive modeling, and machine learning techniques with practical experience applying these concepts
Experience working in Agile environments and collaborating effectively with diverse technical and non-technical stakeholders
Excellent problem-solving skills, critical thinking, and ability to influence technical decisions without direct authority
Strong communication skills in English, capable of articulating complex technical concepts clearly

Nice-to-have:

Certifications in data engineering or AWS cloud technologies
Experience mentoring teams and leading data engineering projects
Familiarity with SaaS product data ecosystems and growth analytics

Benefits

At Katalon, we bring together self-starting, open-minded, and talented people while actively promoting a transparent and growth-enabling working environment. But don't just take our word for it. Take a better look below!

 Total Remuneration: Satisfying your financial goals through competitive compensation and periodic performance bonuses
 Well-being & Work-life Balance: Staying healthy through comprehensive health plans, flexible work arrangements, and generous paid leaves
 Statutory Compliance: Labor compliance with local regulations that ensure employee security
 Work Facilities & Accommodation: Top-notch equipment, supportive allowances, and A-class facilities
 Diversity, Equity, Engagement, & Inclusion: Becoming part of a global team that celebrates differences, equal opportunity, and meaningful employee recognition
 Growth & Rewards: Thriving professionally through employee enablement, a culture of trust, and rewarding performance

Katalon is proud to be an equal-opportunity employer. We care about our people and celebrate our differences. We want to work with talented, collaborative, and innovative people. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other characteristics protected by law."
Quantitative Developer - Java;Binance;Ho Chi Minh City, Ho Chi Minh City, Vietnam (Remote);"About the job
Binance is a leading global blockchain ecosystem behind the world’s largest cryptocurrency exchange by trading volume and registered users. We are trusted by over 280 million people in 100+ countries for our industry-leading security, user fund transparency, trading engine speed, deep liquidity, and an unmatched portfolio of digital-asset products. Binance offerings range from trading and finance to education, research, payments, institutional services, Web3 features, and more. We leverage the power of digital assets and blockchain to build an inclusive financial ecosystem to advance the freedom of money and improve financial access for people around the world.

This team at Binance delivers a user-friendly interface and seamless trading experiences. We offer great flexibility with a wide range of converted tokens and trade sizes. Our users benefit from various trading services, including guaranteed execution prices with no slippage, the best quotations, algorithm bots, and bespoke assets and products. Join us and be part of a team that enhances the trading journey for millions.

Responsibilities

Engage in the full life cycle of software development, including requirement gathering, design, coding, testing, and deployment.
Possess strong technical skills, enabling the delivery of high-quality production code.
Collaborate with the convert team to enhance the effectiveness of trading models.
Liaise with trading and operations teams to develop new products and improve existing ones.
Establish and improve trading system infrastructure to handle large scale positions and orders.
Identify system bottlenecks and bugs, and implement solutions to address these issues.
Attending to production emergencies.

Requirements:

Experience in the full lifecycle of project development for Java applications.
Strong understanding of software design, architecture, development, and integration.
Solid knowledge of event processing models, multi-threading, enterprise integration patterns, web services, and REST.
Experience with algorithmic trading systems, investment banks, hedge funds, trading firms, or brokerages is a strong plus.
A degree in Computer Science, Engineering, or a Mathematics/Algorithm-related field is a bonus.
Flexible with working hours to attend to production emergencies.
Fluency in English is required to be able to coordinate with overseas partners and stakeholders.

Why Binance

 Shape the future with the world’s leading blockchain ecosystem
 Collaborate with world-class talent in a user-centric global organization with a flat structure
 Tackle unique, fast-paced projects with autonomy in an innovative environment
 Thrive in a results-driven workplace with opportunities for career growth and continuous learning
 Competitive salary and company benefits
 Work-from-home arrangement (the arrangement may vary depending on the work nature of the business team)

Binance is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.

By submitting a job application, you confirm that you have read and agree to our  Candidate Privacy Notice ."
Senior/Mid Data Engineer;Global Fashion Group;Ho Chi Minh City, Ho Chi Minh City, Vietnam (On-site);"About the job
Global Fashion Group (GFG) is the leading fashion and lifestyle retail destination in Asia Pacific, Latin America and CIS. We connect over 10,000 global, local and own brands to a market of more than one billion consumers through four established e-commerce platforms: THE ICONIC, ZALORA and Dafiti. Through an inspiring and seamless customer experience enabled by our own technology ecosystem and operational infrastructure, we are dedicated to being the #1 fashion and lifestyle destination in our markets. With 17 offices and 10 fulfilment centres across four continents, GFG proudly employs a dynamic and diverse team with deep local knowledge and expertise. In 2019, GFG delivered more than 34 million orders to over 13 million active customers. 
ABOUT THE FUNCTION
At GFG, technology is core to long-term success and is a crucial enabler of a great customer experience. We are a mix of experts in fashion, logistics, data analytics, marketing and design, guided by business consultants and tech geniuses - everyone contributes to the success of GFG.
We are looking for a Senior Data Engineer to join our team: 
ABOUT THE ROLE 
We are looking for a Senior Data Engineer to join our global data platform team. You will work on a highly scalable cloud-based environment, utilizing modern data engineering tools like Airflow, Trino, and Prometheus running on Kubernetes in a multi-cloud environment (GCP & AWS). The ideal candidate will have experience in debugging complex performance and application-related issues and providing scalable data solutions to support high-impact data science projects like search and recommendation, pricing, and inventory management.
Propose solutions for running multi-cloud infrastructure (e.g., GCP, AWS, etc.) in a cost-efficient manner, optimizing storage, compute, and data transfer costs
Design, implement, and optimize scalable data pipelines using Airflow, Trino, Iceberg and Spark on Kubernetes in a GCP / AWS environment
Debug and resolve performance bottlenecks, ensuring the reliability and efficiency of the platform
Implement best practices in data architecture, ensuring data quality, governance, and security
Collaborate with Data Science teams to deliver data solutions for projects related to search and recommendation, pricing optimization, and inventory management
THE IMPACT YOU’LL MAKE 
Data at GFG never stops growing and the team also never stops learning, innovating and expanding so that we can bring in or build the latest and best tools and technologies. In this role, you will be able to create strategic data models, develop and maintain data architecture used to power high-impact business initiatives that contribute to the overall growth and strategy for GFG.
WHAT WILL YOU BRING TO THE TEAM
Bachelor or Master degree in Computer Science or a related technical discipline
Be familiar with:
Search technologies and recommendation engines
AWS, GCP data services
Basic machine learning algorithms
Experience with monitoring tools like Prometheus for application performance management
Experience with streaming tools like Kafka or Apache Flink
2. Be knowledgeable in:
SQL, Python, and tools like Apache Airflow, Trino/Presto and Iceberg
Large-scale distributed systems in Kubernetes and Cloud Infrastructure
Hadoop, Spark and Pandas or similar processing engines
Terraform for managing Cloud Infrastructure
3. Good to have:
Proven experience with data architecture, data modeling, and ETL pipelines
Strong analytical and problem-solving skills, particularly in debugging and optimizing distributed systems
Excellent communication skills and a team-oriented mindset, with a passion for working in a collaborative, agile environment
Experience in optimizing multi-cloud infrastructure to achieve cost-efficiency and scalability
WHAT WE OFFER YOU
The unique opportunity to have a serious impact on a growing organisation;
A dynamic working environment shaping the face of fashion e-commerce in growth markets
Significant career growth opportunities in a fast-growing business, gain working exposure in the 20+ countries across the group
Work closely with a global talent pool with international mindset 
Apply today and join GFG in this exciting role shaping the face of fashion e-commerce!
Global Fashion Group embraces diversity and equality of opportunity. We are committed to building an inclusive and diverse team representing all backgrounds, with as wide a range of perspectives as possible, and harnessing industry-leading skills. We believe that the more inclusive we are, the better our work will be. We welcome and consider applications to join our team from all qualified candidates, regardless of their characteristics. We comply with all applicable laws and regulations on non-discrimination in employment (and recruitment), as well as work authorization and employment eligibility verification requirements."
